devices/device_type,devices/device_id,AIRCRAFT_MODEL,REGISTRATION,CN,devices/tracked,devices/identified,devices/aircraft_type,COUNTRY
F,DDD54F,Janus Ce,F-CMJK,JK,Y,Y,1,France
F,D02AC7,ASK-13,F-CEJK,JK,Y,Y,1,France
F,3ED16E,DG-1000,D-KUGS,JK,Y,Y,1,Germany
F,DDEEE6,Ventus,SP-0057,JK,Y,Y,1,Poland
I,AB27E6,LS-8 18,N818JK,JK,Y,Y,1,United States
F,DDEB7A,Taurus,OK-SUQ51,JK,Y,Y,1,Czech Republic
F,D004BF,LS-8a,D-3118,JK,Y,Y,1,Germany
F,DD86F4,Cirrus Std,D-7344,JK,Y,Y,1,Germany
F,DDED39,Ventus cM,OK-2131,JK,Y,Y,1,Czech Republic
I,3EC9C8,Ventus 3M,D-KRJK,JK,Y,Y,1,Germany
O,CDC57C,SZD-51 Junior,SP-3305,JK,Y,Y,1,Poland
F,DDF02E,ASW-20,OK-2649,JK,Y,Y,1,Czech Republic
O,E4CF55,Ka-6 e,OH-356,JK,Y,Y,1,Unknown
F,DDFA27,DG-500,F-CHJK,JK,Y,Y,1,France
I,A7AD15,SZD-59 Acro,N594JK,JK,Y,Y,1,United States
F,D02919,Ventus 3M,D-KRJK,JK,Y,Y,1,Germany
F,D006AC,DG-808 C,G-KMJK,JK,Y,Y,1,United Kingdom
F,405822,ASK-21,G-CJKA,JKA,Y,Y,1,United Kingdom
F,405AF5,DG-200,G-CJKF,JKF,Y,Y,1,United Kingdom
I,40568D,ASK-18,G-CJKU,JKU,Y,Y,1,United Kingdom
F,4056B3,Twin Astir II,G-CJKV,JKV,Y,Y,1,United Kingdom
F,3EC325,EB29DR,D-KOWB,JKW,Y,Y,1,Germany
I,405701,Astir CS-77,G-CJKW,JKW,Y,Y,1,United Kingdom
I,4053CF,ASK-21,G-CJKZ,JKZ,Y,Y,1,United Kingdom
F,DDAA0F,ASK-21,G-CJKZ,JKZ,Y,Y,1,United Kingdom
O,C5D438,SZD-51 Junior,SP-3432,JL,Y,Y,1,Poland
F,DF148F,ASW-27,F-CMJL,JL,Y,Y,1,France
F,A39034,ASG-29E,N329ES,JL,Y,Y,1,United States
F,DDFE7F,DG-100,D-4701,JL,Y,Y,1,Germany
F,DDF976,Astir CS-77,D-2901,JL,Y,Y,1,Germany
F,DDEB2A,AS 33,D-KTJL,JL,Y,Y,1,Germany
F,4B50DD,Swift,HB-3126,JL,Y,Y,1,Switzerland
O,2ACE1F,ASW-19,OK-5235,JL,Y,Y,1,Czech Republic
O,575B5C,ASW-19,OK-5235,JL,Y,Y,1,Czech Republic
I,AD34B1,ASG-29,N950AK,JL,Y,Y,1,United States
F,DDA2CF,Kestrel,D-0204,JL,Y,Y,1,Germany
F,DD9A86,DG-100,OK-4486,JL,Y,Y,1,Czech Republic
F,D0136B,AS 33,D-KTJL,JL,Y,Y,1,Germany
F,C93D71,SZD-51 Junior,SP-3432,JL,Y,Y,1,Poland
I,DD50D8,LS-4,G-CJLH,JLH,Y,Y,1,United Kingdom
F,DDE476,ASK-13,G-CJLO,JLO,Y,Y,1,United Kingdom
F,4055C2,ASW-27,C-GJLY,JLY,Y,Y,1,Canada
F,DD52BA,SZD-48 Jantar Std 2,LV-EIR,JM,Y,Y,1,Argentina
F,4B4EB6,HPH 304S Shark,HB-2575,JM,Y,Y,1,Switzerland
F,DDA5CA,Ventus c,F-CGLM,JM,Y,Y,1,France
F,DDDFE1,Ventus 2cM,D-KSJM,JM,Y,Y,1,Germany
