devices/device_type,devices/device_id,AIRCRAFT_MODEL,REGISTRATION,CN,devices/tracked,devices/identified,devices/aircraft_type,COUNTRY
F,40566D,LS-6 18,G-GCBR,167,Y,Y,1,United Kingdom
F,DDD92F,LS-6 18,G-CGBR,167,Y,Y,1,United Kingdom
F,DD5117,Pegase,F-CGBZ,169,Y,Y,1,France
F,8C0664,SGS 1-35,N3616G,16G,Y,Y,1,United States
I,AD8A94,PA-25 Pawnee,N9716P,16P,Y,Y,2,United States
F,DDAEBE,ASW-17,D-9491,17,Y,Y,1,Germany
F,D00543,LS-6 18,D-8817,17,Y,Y,1,Germany
F,DDB090,Cirrus Std,OK-8817,17,Y,Y,1,Czech Republic
F,DDB020,Ka-6 e,D-1917,17,Y,Y,1,Germany
F,DD9CDF,Ka-8,D-8417,17,Y,Y,1,Germany
I,3ED4F0,Ventus 3T,D-KVPG,17,Y,Y,1,Germany
F,DDE48B,SZD-48-3 Jantar Std 3,EC-FHP,17,Y,Y,1,Spain
O,C30810,UFO,IGC-017,17,Y,Y,6,Italy
F,DDEFE5,Kestrel,D-0517,17,Y,Y,1,Germany
F,DD912F,VSO-10,OM-6511,17,Y,Y,1,Slovakia
O,BF9E56,ASW-17,OK-0017,17,Y,Y,1,Czech Republic
F,DDAAE2,LAK-17 AT,G-CKOI,170,Y,Y,1,United Kingdom
F,405473,ASW-27,G-CKDS,172,Y,Y,1,United Kingdom
O,2C4214,Cessna 172,D-172B,172,Y,Y,2,Germany
O,216A24,Cessna 172,D-172A,172,Y,Y,2,Germany
I,404EAA,Discus 2cT,G-CKLV,175,Y,Y,1,United Kingdom
F,DDBD9B,Discus 2cT,G-CKLV,175,Y,Y,1,United Kingdom
F,DDD50B,Nimbus 4,G-CJCT,176,Y,Y,1,United Kingdom
I,40582B,ASW-20,G-CFBA,178,Y,Y,1,United Kingdom
F,C05257,LAK-17B FES,C-GFES,17B,Y,Y,1,Canada
F,DD9A9C,Beech Bonanza V35,N4517D,17D,Y,Y,2,United States
I,A57924,Beech Bonanza V35,N4517D,17D,Y,Y,2,United States
F,3EE558,ASW-17,D-1217,17S,Y,Y,1,Germany
F,404FF0,LAK-17 AT,G-DAVS,17T,Y,Y,1,United Kingdom
F,DD8376,ASK-21,D-8418,18,Y,Y,1,Germany
O,C3080C,UFO,IGC-018,18,Y,Y,6,Italy
F,D008BA,ASW-20,D-6913,18,Y,Y,1,Germany
F,DDA301,Elfe S4,D-1218,18,Y,Y,1,Germany
F,DD993B,ASK-13,D-9918,18,Y,Y,1,Germany
F,DDB1D5,SZD-41 Jantar Std,D-2118,18,Y,Y,1,Germany
F,1E3960,VSO-10,OM-6513,18,Y,Y,1,Slovakia
F,DDA5C0,DG-800,D-1897,18,Y,Y,1,Germany
F,DDA397,ASW-28 18,D-9118,18,Y,Y,1,Germany
F,49B042,LS-8,OK-1818,18,Y,Y,1,Czech Republic
F,DD4E92,Cirrus 18m,D-0184,18,Y,Y,1,Germany
F,DDAB69,ASK-18,D-1818,18,Y,Y,1,Germany
F,F0C028,VSO-10,OM-6513,18,Y,Y,1,Slovakia
F,DD92F1,ASK-13,D-1800,18,Y,Y,1,Germany
F,DDC2A6,ASK-21,D-5418,18,Y,Y,1,Germany
F,DDE33F,ASW-20,G-DDST,180,Y,Y,1,United Kingdom
F,DD8DE9,Pegase,F-CGEG,180,Y,Y,1,France
F,405308,ASW-20,G-DDST,180,Y,Y,1,United Kingdom
O,56A584,SGS 1-26,N8642R,182,Y,Y,1,United States
O,C6D06C,SGS 1-26,N8642R,182,Y,Y,1,United States
F,DDD98B,Discus 2,G-CJUP,183,Y,Y,1,United Kingdom
I,C823E1,Discus 2,ZK-GBI,183,Y,Y,1,New Zealand
F,499E97,LS-8,G-CHWL,184,Y,Y,1,United Kingdom
I,40585D,Duo Discus,G-CJOO,185,Y,Y,1,United Kingdom
F,DD4EF2,Mini Nimbus,G-CFHG,187,Y,Y,1,United Kingdom
F,DD5165,Ventus,G-DELR,188,Y,Y,1,United Kingdom
F,405652,Pegase,G-CFJK,189,Y,Y,1,United Kingdom
F,3ECE96,ASG-29E,OH-1019,19,Y,Y,1,Unknown
F,DD8666,ASK-13,D-1900,19,Y,Y,1,Germany
O,602C78,L 13 SEH Vivat,OK-9119,19,Y,Y,1,Czech Republic
F,DDECFC,ASG-29,OH-1019,19,Y,Y,1,Unknown
F,DD8612,Astir Jeans,D-3819,19,Y,Y,1,Germany
I,ADBBA9,Ventus c,N984T,19,Y,Y,1,United States
F,D01F52,ASW-20,D-3419,19,Y,Y,1,Germany
F,D004ED,LAK 19,D-9198,19,Y,Y,1,Germany
F,F73265,Cirrus Std,F-CGPS,19,Y,Y,1,France
O,151C6F,ASW-19,OK-3892,19,Y,Y,1,Czech Republic
F,DD8F2C,ASW-19,G-CJUN,19,Y,Y,1,United Kingdom
F,DDAC4E,Twin Astir III,D-4419,19,Y,Y,1,Germany
O,A07428,ASW-19,G-CJUN,19,Y,Y,1,United Kingdom
F,DDD434,Libelle Std,EC-CIA,19,Y,Y,1,Spain
F,DF08A2,ASK-13,D-0419,19,Y,Y,1,Germany
F,DD8D6A,Blanik,OM-1919,19,Y,Y,1,Slovakia
O,C30870,UFO,IGC-019,19,Y,Y,6,Italy
I,405DA8,ASW-19,G-CJUN,19,Y,Y,1,United Kingdom
F,3E6154,Ventus cM,D-KCBC,19,Y,Y,1,Germany
F,DDAEE2,Cirrus Std,F-CGPS,19,Y,Y,1,France
F,D02CE6,ASW-19,D-6549,19,Y,Y,1,Germany
F,DDEAC0,Ventus 2cxM,D-KWGW,19,Y,Y,1,Germany
F,DDDBB4,Discus t,G-CJVB,190,Y,Y,1,United Kingdom
F,DDDB6A,DG-200,G-DDWJ,191,Y,Y,1,United Kingdom
F,28C113,ASW-19,G-DEJR,193,Y,Y,1,United Kingdom
I,405484,ASW-19,G-DEJR,193,Y,Y,1,United Kingdom
F,DDD967,Pegase,F-CGER,195,Y,Y,1,France
F,40545E,Nimbus 2,G-DDGY,195,Y,Y,1,United Kingdom
O,569B18,SGS 1-26,N8663R,196,Y,Y,1,United States
F,40540F,ASW-20,G-DEEC,196,Y,Y,1,United Kingdom
F,DD51F9,LAK-19 T,G-XIXT,19T,Y,Y,1,United Kingdom
O,2FCA55,Janus B,CC-19W,19W,Y,Y,1,Chile
F,DDDA41,DG-300,G-XIXX,19X,Y,Y,1,United Kingdom
F,DDA86A,LS-4 W,D-3358,1A,Y,Y,1,Germany
F,45AF01,LS-6 18,OY-KXA,1A,Y,Y,1,Denmark
F,D022CC,ASW-20,D-7659,1A,Y,Y,1,Germany
I,7C29C4,LS-8 18,VH-IJA,1A,Y,Y,1,Australia
F,DDA60C,LS-4,D-3515,1A,Y,Y,1,Germany
F,DDDF1C,LS-3,D-7902,1A,Y,Y,1,Germany
I,AA436F,ASH-31 MI,N760VM,1A,Y,Y,1,United States
O,569A0C,Astir CS,N69BG,1A,Y,Y,1,United States
I,A4AECC,DG-400,N400YE,1AC,Y,Y,1,United States
F,A63DF9,DG-1000,N501DG,1AT,Y,Y,1,United States
F,DDB056,DG-100,D-6567,1B,Y,Y,1,Germany
F,DDB2BA,Ventus 2,D-9701,1B,Y,Y,1,Germany
I,A25B4E,ASW-20,N251B,1B,Y,Y,1,United States
F,D01CC3,Discus,D-9492,1B,Y,Y,1,Germany
I,4B4C51,ASK-21,HB-1962,1B,Y,Y,1,Switzerland
F,DD991C,ASW-19,D-6019,1B,Y,Y,1,Germany
F,D004BC,Ventus,D-9137,1B,Y,Y,1,Germany
F,DD8702,LS-4 W,D-4970,1B,Y,Y,1,Germany
F,DF1703,ASK-21,D-7708,1B,Y,Y,1,Germany
F,DD9CA3,Astir Jeans,D-7639,1C,Y,Y,1,Germany
F,DD85C4,Nimbus 2 C,D-2799,1C,Y,Y,1,Germany
F,4B5219,Arcus S,HB-3442,1C,Y,Y,1,Switzerland
I,A2CD67,EB29R,N28UC,1C,Y,Y,1,United States
F,DD8393,Ventus,D-3192,1C,Y,Y,1,Germany
F,DD858D,LS-1 f,D-2771,1C,Y,Y,1,Germany
I,AD3937,JS-1 C21,N951JS,1C,Y,Y,1,United States
F,A5760D,DG-1000,N451CH,1CH,Y,Y,1,United States
F,DDE4DA,LS-8 18,D-4119,1D,Y,Y,1,Germany
F,3ECBB7,ASG-29E,D-KSCL,1D,Y,Y,1,Germany
I,4B4B5A,LS-4,HB-1715,1D,Y,Y,1,Switzerland
F,3EEC48,LS-8 18,D-2993,1D,Y,Y,1,Germany
F,DDAD19,DG-100,D-4099,1D,Y,Y,1,Germany
F,C00435,HPH 304CZ-17,C-FBPK,1DM,Y,Y,1,Canada
F,DDEB4A,ASW-22 BL,D-KWES,1E,Y,Y,1,Germany
F,DDAAF3,Glasflugel 304,D-0107,1E,Y,Y,1,Germany
F,DDDD4A,Crystal,F-CBCI,1E,Y,Y,1,France
F,DDAA94,Duo Discus,D-3331,1E,Y,Y,1,Germany
F,DD850C,SZD-51 Junior,F-CBZH,1F,Y,Y,1,France
F,DDED99,LS-1 f,G-LSIF,1F,Y,Y,1,United Kingdom
O,8E4D55,Drone/UAV,DJI-MAV,1F,Y,Y,5,Germany
F,DD9158,LS-1 f,D-8920,1F,Y,Y,1,Germany
F,DDA726,LS-1 f,D-2767,1F,Y,Y,1,Germany
I,44E593,LS-1 f,OO-YLS,1F,Y,Y,1,Belgium
F,4850DC,LS-1 f,PH-1540,1F,Y,Y,1,Netherlands
I,A72519,HPH 304CZ-17,N56FL,1FL,Y,Y,1,United States
F,A28DFE,Nimbus 4,N264BM,1G,Y,Y,1,United States
F,C00D0F,LS-8 18,C-FEYO,1G,Y,Y,1,Canada
F,D01330,Ventus 2cxT,D-KBHT,1G,Y,Y,1,Germany
F,DDC15A,ASW-19,D-2019,1G,Y,Y,1,Germany
F,D024D0,LS-6 18,F-CJRP,1G,Y,Y,1,France
I,4AD727,Ventus 2cxM,SE-UYG,1G,Y,Y,1,Sweden
F,4B5113,DG-800,HB-3180,1G,Y,Y,1,Switzerland
F,DF22EB,Duo Discus xl,D-3281,1H,Y,Y,1,Germany
I,A2AA57,Discus,N33DX,1H,Y,Y,1,United States
F,3E65E8,Arcus M,D-KDUE,1H,Y,Y,1,Germany
F,DF0EB3,Arcus M,D-KDUE,1H,Y,Y,1,Germany
I,4B4B04,ASK-21,HB-1629,1IQ,Y,Y,1,Switzerland
F,A12A84,Phoebus,N1741,1JG,Y,Y,1,United States
F,DDAB33,Discus 2,D-4846,1K,Y,Y,1,Germany
I,A45FE2,DG-1000 T,N381K,1K,Y,Y,1,United States
F,DD85CA,Libelle Std,D-8080,1K,Y,Y,1,Germany
F,D0099E,ASK-13,D-0746,1K,Y,Y,1,Germany
O,200873,DG-1000 T,N381K,1K,Y,Y,1,United States
O,FD3F11,Taurus,N221KS,1KS,Y,Y,1,United States
O,024835,Taurus,N221KS,1KS,Y,Y,1,United States
I,A1E5AA,Taurus,N221KS,1KS,Y,Y,1,United States
F,DDC298,ASW-15,D-0983,1L,Y,Y,1,Germany
F,DDE45D,DG-500,EC-LXD,1L,Y,Y,1,Spain
F,DD8DF3,Duo Discus,HB-3391,1L,Y,Y,1,Switzerland
F,DD9827,Ventus 2,F-CGLT,1L,Y,Y,1,France
F,DDA947,ASK-21,D-4229,1L,Y,Y,1,Germany
I,4B4E67,Arcus T,HB-2496,1L,Y,Y,1,Switzerland
F,DDC29C,ASW-15,D-0983,1L,Y,Y,1,Germany
F,3E5EFD,ASH-26 E,D-KBEB,1LF,Y,Y,1,Germany
F,000689,HPH 304C,N304GT,1M,Y,Y,1,United States
I,4B50FF,Duo Discus x,HB-3160,1M,Y,Y,1,Switzerland
F,D00969,Libelle Std,D-0139,1M,Y,Y,1,Germany
F,D00AB0,JS-1 C18 Evo,VH-VJS,1M,Y,Y,1,Australia
F,DD52E0,Discus t,G-CJZG,1M,Y,Y,1,United Kingdom
F,A32ED6,Glasflugel 304,N304GT,1M,Y,Y,1,United States
O,FB49C4,ASK-21,N621MG,1MG,Y,Y,1,United States
O,C72528,ASW-15,OK-2380,1N,Y,Y,1,Czech Republic
F,3EDDA2,EB 29 D,D-KYWW,1P,Y,Y,1,Germany
F,DDA2CC,LS-1 f,D-9488,1P,Y,Y,1,Germany
I,ADD79F,DG-400,N991P,1P,Y,Y,1,United States
F,D02BB8,SZD-55,D-1523,1P,Y,Y,1,Germany
F,DDAC9C,ASW-20,D-6807,1R,Y,Y,1,Germany
F,0D2950,LS-6 18WJ,D-2950,1R,Y,Y,1,Germany
F,486650,AS 33,PH-1691,1R,Y,Y,1,Netherlands
F,DD9779,LS-4,D-8873,1R,Y,Y,1,Germany
F,D00DA0,LS-4,D-8712,1R,Y,Y,1,Germany
F,3EF987,LS-8,D-6384,1S,Y,Y,1,Germany
F,D022E9,Nimbus 3,F-CFUR,1S,Y,Y,1,France
F,806DD0,ASK-21,N221SB,1SB,Y,Y,1,United States
I,A1D515,miniLAK FES,N217SB,1SB,Y,Y,1,United States
I,AABD4F,ASK-21,N791SC,1SC,Y,Y,1,United States
I,A0CF7D,Stemme S-12,N151SG,1SG,Y,Y,1,United States
F,DDACC0,Astir CS,D-7440,1T,Y,Y,1,Germany
I,3E71F3,DG-1000 T,D-KIIT,1T,Y,Y,1,Germany
F,3EE265,DG-505,D-0462,1T,Y,Y,1,Germany
I,3EC8DD,Ventus 2cxM,D-KRAJ,1T,Y,Y,1,Germany
F,DD98A6,ASK-23,D-6281,1T,Y,Y,1,Germany
F,484F5C,LS-1 f,D-2776,1T,Y,Y,1,Germany
F,DDAF51,Discus t,D-KBEW,1T,Y,Y,1,Germany
I,405150,LAK-19 T,G-CKOU,1UP,Y,Y,1,United Kingdom
F,DD4EFD,LAK-19 T,G-CKOU,1UP,Y,Y,1,United Kingdom
F,D00C92,JS-3 18M,F-CNGF,1V,Y,Y,1,France
F,DDEF5D,Discus 2,HB-3424,1V,Y,Y,1,Switzerland
F,DDBC64,ASW-19,D-7839,1V,Y,Y,1,Germany
F,D0148B,Libelle Std,PH-1561,1V,Y,Y,1,Netherlands
F,3E7950,DG-1000 T,D-KLDG,1V,Y,Y,1,Germany
F,D00FD3,ASK-21,D-4745,1W,Y,Y,1,Germany
F,DDB1EA,Astir CS,D-7278,1W,Y,Y,1,Germany
F,D00499,Discus 2c,OY-XXS,1W,Y,Y,1,Denmark
F,D00123,Discus,C-GFQD,1W,Y,Y,1,Canada
F,DDFA7B,Pilatus B4,CC-K1W,1W,Y,Y,1,Chile
F,DDD29F,ASK-21,D-5129,1W,Y,Y,1,Germany
F,DF166B,Discus t,D-KIDD,1W,Y,Y,1,Germany
F,DD86FB,Ka-8,D-8596,1W,Y,Y,1,Germany
F,DDD360,DG-100,SP-4109,1W,Y,Y,1,Poland
O,410047,Cirrus 18m,OK-0739,1W,Y,Y,1,Czech Republic
F,3EEE60,Discus,D-3529,1X,Y,Y,1,Germany
F,3EC8EB,Discus 2cT,D-KRAX,1X,Y,Y,1,Germany
F,A0C9B9,Discus 2,N15VH,1X,Y,Y,1,United States
F,3E7728,ASH-31 MI,D-KKIA,1X,Y,Y,1,Germany
I,A05C54,JS-3 18M,N122NH,1X,Y,Y,1,United States
F,3EE567,LS-4,D-1232,1Y,Y,Y,1,Germany
F,DDA6EC,Libelle Club,D-2459,1Y,Y,Y,1,Germany
F,DD98BA,DG-800,D-8308,1Y,Y,Y,1,Germany
F,DF0C39,Ventus,D-3552,1Y,Y,Y,1,Germany
F,DF1717,ASK-21,D-4492,1Z,Y,Y,1,Germany
F,DDE320,DG-200,G-ONEZ,1Z,Y,Y,1,United Kingdom
F,D01442,ASW-22,F-CBDE,1Z,Y,Y,1,France
I,484A8A,Duo Discus t,PH-1198,1Z,Y,Y,1,Netherlands
F,DDADFF,LS-4,D-6674,1Z,Y,Y,1,Germany
F,DDDBB8,LS-8,D-9718,1Z,Y,Y,1,Germany
F,D02763,LS-1 d,SP-3898,1k,Y,Y,1,Poland
I,A3E291,Cirrus Std,N35BD,1st,Y,Y,1,United States
F,06DDC3,ASK-21,D-4927,2,Y,Y,1,Germany
F,DD52CA,Aero Boero 180,LV-ASC,2,Y,Y,2,Argentina
F,000423,Discus,N18MG,2,Y,Y,1,United States
F,DDAE9E,ASK-21,D-2631,2,Y,Y,1,Germany
F,3960BB,SZD-42 Jantar 2/2b,F-CLIC,2,Y,Y,1,France
I,A13F6D,Discus,N18MG,2,Y,Y,1,United States
O,382F14,Blanik,OK-0235,2,Y,Y,1,Czech Republic
F,DD8794,Pegase,F-CHDB,2,Y,Y,1,France
O,C30910,UFO,IGC-002,2,Y,Y,6,Italy
F,DD95E4,Ka-2,D-8134,2 B,Y,Y,1,Germany
F,DD8598,Twin Astir III,D-4320,20,Y,Y,1,Germany
F,40372A,Vans RV-6,G-RVVI,20,Y,Y,2,United Kingdom
F,405887,ASW-20,G-DETZ,20,Y,Y,1,United Kingdom
F,DDA6AB,ASK-21,D-9620,20,Y,Y,1,Germany
F,898974,ASW-20,N46GH,20,Y,Y,1,United States
F,043F74,DJI Matrice,SAR-UAV,20,Y,Y,5,Unknown
O,C309C0,UFO,IGC-020,20,Y,Y,6,Italy
I,4866E4,ASW-20,PH-1701,20,Y,Y,1,Netherlands
F,DDAB26,Libelle Std,D-6020,20,Y,Y,1,Germany
F,DD86D2,PIK-20 D,D-0220,20,Y,Y,1,Germany
F,DDD2A6,LS-4,D-7875,20,Y,Y,1,Germany
F,384067,TL-2000 Sting,HA-XBY,200,Y,Y,3,Hungary
F,405626,Discus bT,G-CHUZ,200,Y,Y,1,United Kingdom
F,DDE3CA,Libelle Std,D-2214,201,Y,Y,1,Germany
F,DDD9E2,ASW-20,G-CEVZ,202,Y,Y,1,United Kingdom
F,DDA7FD,Libelle Std,D-8177,202,Y,Y,1,Germany
F,DD9B24,DG-200,F-CBCA,202,Y,Y,1,France
F,D01EE8,LS-6 18,G-CHJX,203,Y,Y,1,United Kingdom
F,C76B6C,LS-7,N44340,204,Y,Y,1,United States
F,DDC0EB,ASW-28t,G-CKLP,205,Y,Y,1,United Kingdom
I,404F9D,ASW-28 18,G-CKLP,205,Y,Y,1,United Kingdom
F,405C71,DG-300,G-CGBS,206,Y,Y,1,United Kingdom
O,1C3C12,Cessna 172,D-EZGM,208,Y,Y,2,Germany
F,DDD23B,ASW-28 18,G-CKNG,209,Y,Y,1,United Kingdom
F,DDD9A8,Ventus bT,D-KPDC,209,Y,Y,1,Germany
F,DDD86C,Ventus bT,D-KPDC,209,Y,Y,1,Germany
F,40715E,ASW-20,G-CLSW,20B,Y,Y,1,United Kingdom
F,A8166F,ASW-20,N620C,20C,Y,Y,1,United States
F,DF032B,ASW-20,VH-JRG,20F,Y,Y,1,Australia
F,DDD8E5,ASK-21,OH-678,21,Y,Y,1,Unknown
F,3EF3D0,Discus 2,D-4921,21,Y,Y,1,Germany
O,C309AC,UFO,IGC-021,21,Y,Y,6,Italy
F,DD91D4,ASK-21,OE-5263,21,Y,Y,1,Austria
I,0DEC3C,ASK-21,D-1221,21,Y,Y,1,Germany
F,DDE3EB,Twin Astir II,G-CJLZ,21,Y,Y,1,United Kingdom
F,DD99BF,ASK-21,D-1721,21,Y,Y,1,Germany
F,3EE8E0,Libelle Club,D-2121,21,Y,Y,1,Germany
F,D0264F,ASW-27,D-9827,21,Y,Y,1,Germany
F,DDA72A,ASK-21,D-7421,21,Y,Y,1,Germany
F,DDAE5C,ASK-21,D-1621,21,Y,Y,1,Germany
F,DDA299,Elfe S4D,D-6268,21,Y,Y,1,Germany
F,044180,DJI Matrice,SAR-UAV,21,Y,Y,5,Unknown
F,D001D0,ASK-21,D-0402,21,Y,Y,1,Germany
F,3ECBA5,Ventus 3T,D-KSBT,21,Y,Y,1,Germany
F,D00B54,ASK-21,D-4021,21,Y,Y,1,Germany
F,DDA5C2,A380,D-1621,21,Y,Y,1,Germany
I,A81A2D,ASK-21,N621CG,21,Y,Y,1,United States
I,A9A1A3,ASW-27,N72EM,21,Y,Y,1,United States
F,DDA3F4,ASK-21,D-9021,21,Y,Y,1,Germany
F,DDDA16,ASK-21,D-5621,21,Y,Y,1,Germany
F,DDB155,ASK-21 MI,D-KZAS,21,Y,Y,1,Germany
F,DF1020,ASK-21,D-6121,21,Y,Y,1,Germany
F,DDC286,DG-500,D-KIDL,21,Y,Y,1,Germany
F,DD85B5,ASK-21,D-6621,21,Y,Y,1,Germany
F,DDC271,ASK-21,D-2021,21,Y,Y,1,Germany
F,DDE985,Arcus M,D-KGKK,21,Y,Y,1,Germany
F,D01031,Ventus 3T,G-XIIO,210,Y,Y,1,United Kingdom
F,DDBFCB,Cirrus Std,G-CFMU,211,Y,Y,1,United Kingdom
F,405467,Cirrus Std,G-CFMU,211,Y,Y,1,United Kingdom
F,405A87,ASW-20,G-ODCH,212,Y,Y,1,United Kingdom
F,DDFB50,Pegase,F-CGEV,212,Y,Y,1,France
I,4B457B,OldTimer,HB-212,212,Y,Y,1,Switzerland
F,ABEF3D,SGS 1-26,N8682R,212,Y,Y,1,United States
F,A21351,Pegase,F-CGFB,213,Y,Y,1,France
F,243E4A,Valentin Taifun,HA-1214,214,Y,Y,1,Hungary
O,36980B,Blanik,OK-0214,214,Y,Y,1,Czech Republic
O,236E34,SZD-48 Jantar Std 2,LY-GPK,215,Y,Y,1,Lithuania
O,C761F4,SGS 1-26,N2746R,216,Y,Y,1,United States
F,D01488,Astir CS,G-CFYI,216,Y,Y,1,United Kingdom
F,406089,Astir CS,G-CFYI,216,Y,Y,1,United Kingdom
I,4056C1,Ventus,G-DEUJ,217,Y,Y,1,United Kingdom
F,DDAC19,Pegase,F-CGFC,217,Y,Y,1,France
F,DDD37F,ASW-27,G-CKKH,218,Y,Y,1,United Kingdom
F,DD0947,ASW-27,G-CKKH,218,Y,Y,1,United Kingdom
O,E02180,SGS 1-26,N2754R,219,Y,Y,1,United States
F,D01F70,ASW-15,G-CGEH,219,Y,Y,1,United Kingdom
O,C6DCB0,ASK-21,N121FL,21A,Y,Y,1,United States
O,C778C0,ASK-21,N2237W,21B,Y,Y,1,United States
F,DDF9F9,Calif A21S,G-CKNC,21S,Y,Y,1,United Kingdom
F,DDC344,Ka-6 cr,D-4122,22,Y,Y,1,Germany
F,DDEB81,ASW-22 BL,D-3593,22,Y,Y,1,Germany
F,DDB379,Ka-8,D-3622,22,Y,Y,1,Germany
F,DF261D,LS-6 18,D-2666,22,Y,Y,1,Germany
O,B9A2B8,Cirrus Std,OK-8918,22,Y,Y,1,Czech Republic
F,DDD80A,ASK-13,D-7522,22,Y,Y,1,Germany
O,022710,VT-116 Orlik II,OK-6922,22,Y,Y,1,Czech Republic
F,D00FD9,LS-4,D-5122,22,Y,Y,1,Germany
O,BF9084,UFO,IGC-022,22,Y,Y,6,Italy
F,3EEB9D,LS-4,D-2822,22,Y,Y,1,Germany
I,3EF648,LS-6,D-5553,22,Y,Y,1,Germany
O,6AC805,Blanik,OK-4822,22,Y,Y,1,Czech Republic
F,D01D3E,Discus,LV-ESU,22,Y,Y,1,Argentina
F,DDADE9,DG-100,D-5722,22,Y,Y,1,Germany
F,DD9FC9,LS-6 18,D-2666,22,Y,Y,1,Germany
F,4B4D55,Ventus 3M,HB-2222,22,Y,Y,1,Switzerland
F,DDAA2C,SZD-50 Puchacz,D-4622,22,Y,Y,1,Germany
F,48E8DA,SF-25,SP-0122,22,Y,Y,1,Poland
F,DD8D9D,SF-27,D-1222,22,Y,Y,1,Germany
O,262E14,VSO-10,OK-6510,22,Y,Y,1,Czech Republic
F,48E86A,SF-25,SP-0122,22,Y,Y,1,Poland
F,DDB375,Libelle Std,OE-0922,22,Y,Y,1,Austria
F,3E785C,Ventus 3M,D-KKTW,22,Y,Y,1,Germany
F,D00427,Duo Discus,G-CHNW,220,Y,Y,1,United Kingdom
F,DDD4EE,LS-8,F-CUBI,220,Y,Y,1,France
F,DDD9D4,Pegase,F-CGFG,221,Y,Y,1,France
F,DDA9B5,Ventus ct,G-CJFR,221,Y,Y,1,United Kingdom
F,D005B7,Pegase,G-DETJ,223,Y,Y,1,United Kingdom
F,DD523A,LS-4,G-CFYH,224,Y,Y,1,United Kingdom
F,DDAA61,LS-4,G-CFYH,224,Y,Y,1,United Kingdom
F,D01F76,Mini Nimbus,G-CJTJ,225,Y,Y,1,United Kingdom
O,066015,Z-226 trener,OK-MPB,226,Y,Y,2,Czech Republic
F,484C9D,Slingsby Skylark 2,PH-226,226,Y,Y,1,Netherlands
O,45F852,SF-25,HA-1248,229,Y,Y,1,Hungary
F,8CEB94,Ka-8,N6622F,22F,Y,Y,1,United States
F,D004E5,ASW-20,D-7648,22T,Y,Y,1,Germany
I,3EFE77,ASW-20,D-7648,22T,Y,Y,1,Germany
F,DDEDC7,ASH-25,D-KRJP,22T,Y,Y,1,Germany
F,DDBC0E,Cirrus Std,F-CMET,23,Y,Y,1,France
O,024932,UFO,CC-K23W,23,Y,Y,6,Chile
F,DDD8DE,ASK-23,OH-696,23,Y,Y,1,Unknown
I,3EF4FE,ASK-23,D-5223,23,Y,Y,1,Germany
F,DD8408,Ka-8,D-5823,23,Y,Y,1,Germany
O,C30A7C,UFO,IGC-023,23,Y,Y,6,Italy
F,DDDD09,Ka-6 cr,D-6123,23,Y,Y,1,Germany
F,DDACF0,SF-25,D-KDBI,23,Y,Y,1,Germany
F,DDA73C,ASK-13,D-6723,23,Y,Y,1,Germany
O,C6A2AC,ASK-23,N19RT,23,Y,Y,1,United States
F,DF0AF7,LS-4,D-0723,23,Y,Y,1,Germany
F,DDDBF6,Libelle Std,OO-ZRK,23,Y,Y,1,Belgium
F,DD9976,Bergfalke IV,D-0523,23,Y,Y,1,Germany
O,1C4230,Mini Nimbus,CC-K23W,23,Y,Y,1,Chile
F,DDFAF8,Mini Nimbus,CC-K23W,23,Y,Y,1,Chile
F,DD9B88,ASK-23,D-8023,23,Y,Y,1,Germany
F,DDE719,ASK-23,D-9423,23,Y,Y,1,Germany
F,DDACB0,ASK-21,D-9723,23,Y,Y,1,Germany
O,6AC77D,Blanik,OK-3223,23,Y,Y,1,Czech Republic
F,D012DB,Discus,G-CFTW,230,Y,Y,1,United Kingdom
F,A249F1,SGS 2-32,N2469W,232,Y,Y,1,United States
F,DDE4F5,Duo Discus,G-CKGF,233,Y,Y,1,United Kingdom
F,DDE83C,Duo Discus t,G-CKGF,233,Y,Y,1,United Kingdom
O,C7720C,SGS 2-33A,N2750H,233,Y,Y,1,United States
F,DDE216,Socata Rallye 235CA-M,F-HFDF,235,Y,Y,2,France
F,DD8D52,Ka-7,D-5236,236,Y,Y,1,Germany
F,DDC005,LAK-12,G-CHHW,237,Y,Y,1,United Kingdom
F,4059EC,Ventus ct,G-CFPE,238,Y,Y,1,United Kingdom
F,DDC1C6,Ventus 2ct,G-CFPE,238,Y,Y,1,United Kingdom
O,458E4B,Ka-8,OE-0529,238,Y,Y,1,Austria
O,35070B,SZD-30 Pirat,D-1126,239,Y,Y,1,Germany
F,484DF4,Ka-4,PH-239,239,Y,Y,1,Netherlands
F,4848B9,ASW-24,PH-1298,24,Y,Y,1,Netherlands
F,DD4E93,LS-1 d,D-0668,24,Y,Y,1,Germany
F,DDF03F,ASW-24,D-1264,24,Y,Y,1,Germany
F,DDA405,Bergfalke III,D-1324,24,Y,Y,1,Germany
O,632879,SZD-50 Puchacz,SP-3524,24,Y,Y,1,Poland
O,275841,VT-116 Orlik II,OK-4307,24,Y,Y,1,Czech Republic
F,D015F1,ASW-24,PH-1298,24,Y,Y,1,Netherlands
F,DDAC37,ASW-24,D-1584,24,Y,Y,1,Germany
F,D009E4,ASW-24 E,D-KGDS,24,Y,Y,1,Germany
F,DDD403,Discus,F-CGGY,24,Y,Y,1,France
